sub,day,condition,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,average_corr,delta,theta,alpha,beta,gamma
control_4,control,mindfulness,0.4332,0.7664,0.6033,0.706,0.2616,2.7428,0.4468,6.0071,1.3322,1.6597,0.7625,0.1779
4,day1,jhana,0.4978,0.8167,0.6242,0.8726,0.3284,2.7214,0.403,0.0,0.0,0.0,0.0,0.0
4,day2,jhana,0.4133,0.7948,0.5769,0.7222,0.2508,3.326,0.4473,6.3398,1.2372,1.465,0.3359,0.2635
4,day2,mindfulness,0.3811,0.7722,0.5488,0.6429,0.218,3.4845,0.4975,8.1309,2.9328,2.3437,0.3015,0.2148
4,day3,mindfulness,0.4121,0.7757,0.575,0.6905,0.2436,3.1086,0.4005,8.9972,1.5965,1.7717,0.2972,0.1136
control_5,control,mindfulness,0.3648,0.7465,0.5219,0.5949,0.2016,3.2762,0.4162,6.4064,1.7045,4.0032,0.2842,0.0638
5,day1,jhana,0.5408,0.8164,0.6751,0.9395,0.3705,2.4524,0.4897,6.0371,1.3945,1.9255,0.7338,0.3655
5,day1,mindfulness,0.5005,0.7993,0.6311,0.8525,0.3257,2.5382,0.4358,4.04,1.1011,2.3154,0.528,0.2436
5,day2,jhana,0.6284,0.8262,0.7248,1.0859,0.4653,1.9633,0.6336,1.8873,0.5585,1.0651,0.5412,0.4219
5,day2,mindfulness,0.5706,0.8133,0.6857,0.9776,0.3946,2.1999,0.5473,1.6773,0.3127,0.868,0.2629,0.1975
5,day3,jhana,0.5101,0.8165,0.6525,0.9081,0.3437,2.5542,0.672,10.357,2.2409,2.6139,0.7484,0.431
5,day3,mindfulness,0.4831,0.8021,0.6313,0.8323,0.3101,2.7025,0.6649,8.4078,1.5,3.5389,0.6169,0.3236
5,day4,jhana,0.6033,0.8269,0.7106,1.0565,0.4419,2.0762,0.5826,5.9594,1.2151,1.4783,0.6389,0.4811
5,day4,mindfulness,0.5255,0.8044,0.6673,0.899,0.3485,2.3786,0.5692,12.5893,3.4762,4.068,2.643,0.612
6,day4,mindfulness,0.3569,0.7851,0.5263,0.6384,0.2115,3.558,0.8005,24.5191,4.0264,7.8925,0.621,0.3145
7,day2,jhana,0.4665,0.8196,0.6138,0.8473,0.3045,2.9409,0.5832,12.9201,1.7096,2.3654,0.8907,0.5813
7,day3,jhana,0.5574,0.8241,0.6816,1.0017,0.3888,2.2965,0.5128,9.1853,1.5937,2.1252,0.7561,0.4632
7,day3,mindfulness,0.5212,0.8105,0.6562,0.914,0.3476,2.4449,0.512,5.8524,1.3276,3.8772,0.8324,0.389
7,day4,jhana,0.5988,0.8177,0.6991,1.0337,0.4195,2.0328,0.5375,2.9378,0.7826,1.4544,0.4007,0.2743
7,day4,mindfulness,0.4515,0.7773,0.6152,0.7474,0.2771,2.6816,0.6321,4.6273,1.2104,4.8916,0.6535,0.1808
control_8,control,mindfulness,0.3972,0.7681,0.5751,0.6525,0.2304,3.1877,0.4806,7.2257,1.7546,1.377,0.357,0.0658
8,day1,jhana,0.5365,0.7996,0.6546,0.8996,0.3529,2.2424,0.4606,11.3699,2.7148,10.2752,1.5088,0.6325
8,day4,jhana,0.4239,0.7863,0.5891,0.7207,0.2548,2.9815,0.6297,20.2196,2.6219,8.4577,0.9925,0.2783
8,day4,mindfulness,0.4186,0.7848,0.5879,0.7181,0.2583,2.9847,0.5986,11.0477,2.3299,6.9666,0.8319,0.2022
9,day1,jhana,0.4329,0.801,0.5761,0.7517,0.2656,3.139,0.5681,9.0293,1.0599,2.0471,0.3703,0.2543
9,day1,mindfulness,0.4334,0.7783,0.581,0.735,0.2654,2.8596,0.5555,8.2157,1.0961,5.4544,0.3744,0.1874
9,day2,jhana,0.4835,0.7937,0.6091,0.8194,0.3077,2.6087,0.4539,6.2735,1.5239,4.0075,0.4963,0.2169
9,day2,mindfulness,0.4276,0.7718,0.5574,0.7127,0.2581,2.9343,0.3958,7.181,1.3127,4.7219,0.3138,0.1135
9,day3,jhana,0.4815,0.803,0.6074,0.8407,0.311,2.6668,0.4311,22.8474,8.5617,4.5364,2.3244,0.8692
9,day3,mindfulness,0.4754,0.7784,0.586,0.7848,0.2979,2.5493,0.4132,4.5552,1.273,6.8137,0.4102,0.1909
9,day4,jhana,0.5116,0.8009,0.6336,0.8722,0.3332,2.4285,0.3979,4.1992,0.8341,5.1698,0.4678,0.2635
9,day4,mindfulness,0.4711,0.7747,0.593,0.777,0.2952,2.5317,0.4193,7.6049,0.8614,6.5297,0.3139,0.1296
